"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"misty","is a term that can describe","cloud cover",,,,,,,"regents"
"smoggy","is a term that can describe","cloud cover",,,,,,,"regents"
"cirrus","is a term that can describe","a type of cloud",,,,,,,"regents"
"cirrostratus","is a term that can describe","a type of cloud",,,,,,,"regents"
"cirrocumulus","is a term that can describe","a type of cloud",,,,,,,"regents"
"altostratus","is a term that can describe","a type of cloud",,,,,,,"regents"
"altocumulus","is a term that can describe","a type of cloud",,,,,,,"regents"
"stratus","is a term that can describe","a type of cloud",,,,,,,"regents"
"cumulonimbus","is a term that can describe","a type of cloud",,,,,,,"regents"
"stratocumulus","is a term that can describe","a type of cloud",,,,,,,"regents"
"chilly","is a term that can describe","temperature",,,,,,,"regents"
"drought","is a term that can describe","precipitation",,,,,,,"regents"
"freezing","is a term that can describe","termperature",,,,,,,"regents"
"overcast","is a term that can describe","cloud cover",,,,,,,"regents"
"damp","is a term that can describe","the amount of water vapor in the air",,,,,,,"regents"
"scorching","is a term that can describe","temperature",,,,,,,"regents"
"rainbow","is a term that can describe","optical phenomenon",,,,,,,"regents"
"sun dog; mock sun; phantom sun; parhelion","is a term that can describe","optical phenomenon",,,,,,,"regents"
"halo","is a term that can describe","optical phenomenon",,,,,,,"regents"
"EXAMPLE ORGANISM Noun phrase, subject of following verb phrase ","EXAMPLE ACTIVITY Verb phrase for organism ","","ABSTRACT ACTIVITY Abstract description of organism performing an activity",,,,,,"regents"
"A dog","burying a bone","is an example of an organism","storing nutrients for future use",,,,,,"regents"
"A girl","eating an apple","is an example of an organism","taking in nutrients",,,,,,"regents"
"An insect","crawling on a leaf","is an example of an organism","moving on a surface",,,,,,"regents"
"A boy","planting tomatoes in a garden","is an example of an organism","cultivating nutrients",,,,,,"regents"
"A squirrel","climbing a tree","is an example of an organism","moving in its habitat",,,,,,"regents"
"A rabbit","feeding its young","is an example of an organism","providing nutrients to its offspring",,,,,,"regents"
"A frog","eating an insect","is an example of an organism","ingesting nutrients",,,,,,"regents"
"A bird","migrating south","is an example of an organism","adapting to change in the environment",,,,,,"regents"
"A bat","flying at night","is an example of an organism","moving",,,,,,"regents"
"A deer","drinking water","is an example of an organism","ingesting water",,,,,,"regents"
"An owl","eating a mouse","is an example of an organism","ingesting nutrients",,,,,,"regents"
"A squirrel","storing nuts","is an example of an organism","preparing for a seasonal change in its environment",,,,,,"regents"
"A whale","spouting ","is an example of an organism","breathing",,,,,,"regents"
"Maple keys","spinning through the air","is an example of an organism","reproducing",,,,,,"regents"
"Leaves","falling from an oak tree","is an example of an organism","eliminating waste",,,,,,"regents"
"A turtle","eating worms","is an example of an organism","taking in nutrients",,,,,,"regents"
"Some birds","flying south before winter each year","is an example of an organism","migrating",,,,,,"regents"
"Some mammals","sleeping through the winter each year","is an example of an organism","hibernating",,,,,,"regents"
"Some seeds","sprouting after they have been exposed to fire","is an example of an organism","germinating",,,,,,"regents"
"Bears","going into a kind of sleep during winter to reduce their need for food","is an example of an organism","hibernating",,,,,,"regents"
"Canadian geese","flying south during winter to avoid the cold","is an example of an organism","migrating",,,,,,"regents"
"A white arctic fox","blending in with the snow","is an example of an organism","using camouflage",,,,,,"regents"
"Some butterflies","living an average of two weeks","is an example of an organism","living a life span",,,,,,"regents"
"Object","Living or nonliving?",,,,,,,,"regents"
"bear","living",,,,,,,,"regents"
"bicycle","nonliving",,,,,,,,"regents"
"bird","living",,,,,,,,"regents"
"butterfly","living",,,,,,,,"regents"
"","ORBITAL EVENT","","PERIOD OF DAYLIGHT","","PERIOD OF NIGHT","",,,"regents"
"The","summer solstice","is the day with the ","longest","period of daylight and the ","shortest","period of night",,,"regents"
"The","winter solstice","is the day with the ","shortest","period of daylight and the ","longest","period of night",,,"regents"
"The","spring equinox","is the day with the ","midrange","period of daylight and the ","midrange","period of night",,,"regents"
"The","fall equinox","is the day with the ","midrange","period of daylight and the ","midrange","period of night",,,"regents"
"Substance","States usually found in nature",,,,,,,,"regents"
"water","liquid, solid, gas",,,,,,,,"regents"
"rock","solid",,,,,,,,"regents"
"metal","liquid, solid",,,,,,,,"regents"
"glass","solid",,,,,,,,"regents"
"LHS","Relation","RHS",,,,,,,"auto"
"animals","need","water also",,,,,,,"auto"
"all living things","need","nutrients",,,,,,,"auto"
"animals","take in","food",,,,,,,"auto"
"animals","get","nutrients",,,,,,,"auto"
"all cells","need","oxygen",,,,,,,"auto"
"living things","change","the sun 's energy",,,,,,,"auto"
"living things","make","their[producers] own food",,,,,,,"auto"
"humans","use","resources from the environment",,,,,,,"auto"
"humans","create","shelters & energy",,,,,,,"auto"
"humans","use","wood",,,,,,,"auto"
"humans","build","homes",,,,,,,"auto"
"humans","use","materials also",,,,,,,"auto"
"humans","create","energy",,,,,,,"auto"
"humans","need","food",,,,,,,"auto"
"scientists","use","tools & instruments often in_addition_to their senses",,,,,,,"auto"
"scientists","observe","matter",,,,,,,"auto"
"scientists","use","an anemometer",,,,,,,"auto"
"scientists","determine","wind speed",,,,,,,"auto"
"all living things","need","air & water",,,,,,,"auto"
"plants","need","light",,,,,,,"auto"
"the plant","gets","the energy",,,,,,,"auto"
"cactus","hold","water",,,,,,,"auto"
"palm trees","absorb","extra sunlight",,,,,,,"auto"
"palm trees","have","wide leaves",,,,,,,"auto"
"animals","need","air & water & food",,,,,,,"auto"
"some animals","grow","thick fur in winter in winter",,,,,,,"auto"
"some animals","increase","body fat in winter in winter",,,,,,,"auto"
"a scientist","use","a graduated cylinder",,,,,,,"auto"
"a scientist","measure","the volume of a liquid",,,,,,,"auto"
"living things","need","food & water & air",,,,,,,"auto"
"animals","need","air & water & food",,,,,,,"auto"
"plants","need","air & water & nutrients & light",,,,,,,"auto"
"plants","require","air & water & nutrients & light in order",,,,,,,"auto"
"tough outer coatings","protect","the plant from the environment",,,,,,,"auto"
"all animals","take in","food & water & nutrients",,,,,,,"auto"
"the body","growing","new bone cells",,,,,,,"auto"
"new bone cells","repair","the break",,,,,,,"auto"
"new clean forms of energy","conserve","fossil fuels",,,,,,,"auto"
"force","do","work",,,,,,,"auto"
"plants","need","air & water & nutrients & light",,,,,,,"auto"
"animals","need","air & food & water",,,,,,,"auto"
"plants","need","water & light & air & food",,,,,,,"auto"
"a plant","have","a large root system",,,,,,,"auto"
"a large root system","find","water deep within the ground",,,,,,,"auto"
"a tough outer coating","prevent","the loss of water",,,,,,,"auto"
"organisms","reproduce","dna from the parents",,,,,,,"auto"
"organisms","form","the genetic information for the new offspring",,,,,,,"auto"
"the animal","make","energy",,,,,,,"auto"
"our bodies","bringing","water to our skin",,,,,,,"auto"
"work","involves","the changing of an object 's position",,,,,,,"auto"
"animals","get","long periods of time with little food through",,,,,,,"auto"
"elephants","protect","them from predators",,,,,,,"auto"
"the fish","get","oxygen from the water while swimming",,,,,,,"auto"
"all living things","produce","offspring",,,,,,,"auto"
"(  thorns  on )","protect","the plant",,,,,,,"auto"
"roots","reach","the water supply",,,,,,,"auto"
"animals","find","shelter & food",,,,,,,"auto"
"some animals","change","the color of their body",,,,,,,"auto"
"skunks","give off","a very foul smell",,,,,,,"auto"
"many animals","change","their body with the seasons",,,,,,,"auto"
"(  flying  south in the winter )","avoid","the cold months",,,,,,,"auto"
"the best way in addition to eating healthfully exercising and getting rest","avoid","harmful substances",,,,,,,"auto"
"the lungs","remove","the chemicals",,,,,,,"auto"
"the liver","remove","these foreign substances",,,,,,,"auto"
"plants","make","their own food by photosynthesis",,,,,,,"auto"
"the sun","appears","each day",,,,,,,"auto"
"(  action their roots )","secure","the plant",,,,,,,"auto"
"(  action their roots )","seek","water",,,,,,,"auto"
"( becoming very small pieces  )","create","soil",,,,,,,"auto"
"plants","make","their own food by a process",,,,,,,"auto"
"the leaves","contain","chlorophyll",,,,,,,"auto"
"the leaves","collect","light",,,,,,,"auto"
"pelicans","collect","many fish in their large beaks",,,,,,,"auto"
"a number of different objects","appear","each day night in the sky",,,,,,,"auto"
"plants","make","their own food by a process",,,,,,,"auto"
"freezing","changing","water from its[change] liquid state to its[state] solid state by removal",,,,,,,"auto"
"melting","changing","water from its solid state to a liquid state by addition",,,,,,,"auto"
"plants","break down","rocks also by action",,,,,,,"auto"
"plants","give_off","oxygen",,,,,,,"auto"
"the oxygen","enters","the blood in the lungs",,,,,,,"auto"
"the oxygen","carry","the oxygen throughout the body",,,,,,,"auto"
"sound move tiny bones in our ears","send","a message through the auditory nerve to the brain",,,,,,,"auto"
"the taste buds","send","information to the brain",,,,,,,"auto"
"your body","have","energy",,,,,,,"auto"
"your body","repair","itself[body]",,,,,,,"auto"
"living things","take in","nutrients",,,,,,,"auto"
"the dolphin","swims","its[dolphin] flipper",,,,,,,"auto"
"plants","take in","use the type of air",,,,,,,"auto"
"plants","make","their own food a process",,,,,,,"auto"
"plants","give off","oxygen & water a process",,,,,,,"auto"
"many animals","need","a gas",,,,,,,"auto"
"flowers","have","nice scents for a reason",,,,,,,"auto"
"plants","increase","the process in size",,,,,,,"auto"
"plants & animals","increase","the process in size",,,,,,,"auto"
"( the liver the organ  )","cleans","the blood",,,,,,,"auto"
"the science","studies","the relationships between organisms and their environments",,,,,,,"auto"
"animals","eat","plants",,,,,,,"auto"
"living things","break down","dead organisms",,,,,,,"auto"
"living things","recycle","their[consumers] nutrients into the soil",,,,,,,"auto"
"humans","created","pollution the ways",,,,,,,"auto"
"anything","has","mass",,,,,,,"auto"
"anything","takes up","space",,,,,,,"auto"
"energy","gives","us & warmth",,,,,,,"auto"
"two surfaces","are","resistance in contact",,,,,,,"auto"
"areas","need","rainwater for everyday use",,,,,,,"auto"
"scientists","investigate","a problem & situation a process",,,,,,,"auto"
"the flower","has","a pleasant scent",,,,,,,"auto"
"a pleasant scent","attracts","birds & insects",,,,,,,"auto"
"the force","slows down","the motion of a bicycle",,,,,,,"auto"
"the force","brings","objects toward the earth",,,,,,,"auto"
"the force","pulls","objects toward the earth",,,,,,,"auto"
"plants & animals","increase","a process in size",,,,,,,"auto"
"animals","protect","themselves in a way",,,,,,,"auto"
"some animals","deal","another way with changes in the weather",,,,,,,"auto"
"the plates","make up","the earth 's crust",,,,,,,"auto"
"the sun","causes","the phase change",,,,,,,"auto"
"it[energy]","evaporate","change from liquid water to water vapor",,,,,,,"auto"
"the plant","create","food",,,,,,,"auto"
"the plant","produce","food",,,,,,,"auto"
"regular exercise","live","a healthy lifestyle",,,,,,,"auto"
"the plant","produce","food",,,,,,,"auto"
"the offspring","has","characteristics similar to the parents",,,,,,,"auto"
"cells from the male and female parts of the plant","form","seeds",,,,,,,"auto"
"the lungs","send","the carbon dioxide",,,,,,,"auto"
"it[skin]","cools down","our body",,,,,,,"auto"
"an organism","has","an offspring",,,,,,,"auto"
"an animal","breaks","a bone",,,,,,,"auto"
"two objects","produce","mechanical energy",,,,,,,"auto"
"the bulb","give off","light",,,,,,,"auto"
"the ground","absorb","the water eventually",,,,,,,"auto"
"the ground","absorbs","the water",,,,,,,"auto"
"it[water]","breaks","the rock",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"animals","cause","harm to the environment",,,,,,,"auto"
"it[organism]","needs","water",,,,,,,"auto"
"a deep cut","leaves","a scar",,,,,,,"auto"
"humans","construct","new homes & buildings",,,,,,,"auto"
"they[humans]","change","the landscape of the nonliving environment",,,,,,,"auto"
"rain","occur","anytime during the year",,,,,,,"auto"
"birds","building","a nest on tree branches and squirrels living inside a tree trunk",,,,,,,"auto"
"animals","using","plants for shelter",,,,,,,"auto"
"magnet","attract","objects",,,,,,,"auto"
"an example of a plant responding to a change in its[plant] environment","falling off","trees in fall",,,,,,,"auto"
"mechanical energy","playing","a guitar",,,,,,,"auto"
"mechanical energy","pounding","a fist on a table",,,,,,,"auto"
"life cycles","include","( that beginning life into an adult reproduction as an adult and eventually death )",,,,,,,"auto"
"its[kind] own stages of growth of development","includes","seed & young plant & mature plant",,,,,,,"auto"
"your body","making","new skin cells",,,,,,,"auto"
"they[producers]","provide","the basic food supply for themselves[producers] and animals",,,,,,,"auto"
"it[sky]","reflects","light from the sun",,,,,,,"auto"
"water animals","produce","very large numbers of eggs",,,,,,,"auto"
"the main function of a turtle 's shell","protect","the turtle",,,,,,,"auto"
"animals","require","air & water & food",,,,,,,"auto"
"all animals","take in","oxygen",,,,,,,"auto"
"farmers","plant","harvest grain & wheat & corn & fruits & vegetables",,,,,,,"auto"
"skiers & surfers","apply","wax often to their[skiers] skis to boards",,,,,,,"auto"
"scientists","record","their[scientists] observations often in a journal in notebook",,,,,,,"auto"
"scientists","keep","accurate records for future review",,,,,,,"auto"
"the plant","perform","photosynthesis",,,,,,,"auto"
"plants","give off","oxygen",,,,,,,"auto"
"animals","give off","carbon dioxide",,,,,,,"auto"
"plants","producing","flowers & fruits",,,,,,,"auto"
"fruits","have","seeds",,,,,,,"auto"
"animals","exhaling","carbon dioxide through their mouth through nose",,,,,,,"auto"
"it[body]","circulating","blood throughout the body",,,,,,,"auto"
"some animals","sending","special sounds out",,,,,,,"auto"
"some animals","protect","themselves[predators]",,,,,,,"auto"
"scared or upset our body","increasing","our heart rate",,,,,,,"auto"
"humans","raising","animals",,,,,,,"auto"
"humans","changed","the environment also",,,,,,,"auto"
"humans","cultivating","crops",,,,,,,"auto"
"humans","developing","communities in areas",,,,,,,"auto"
"humans","changed","their[humans] environment",,,,,,,"auto"
"plants","forming","seeds from the male pollen and female eggs cells found in the flower",,,,,,,"auto"
"lobsters & crabs","protect","them[others] from predators",,,,,,,"auto"
"lobsters & crabs","protect","themselves with their claws",,,,,,,"auto"
"dogs","have","legs",,,,,,,"auto"
"birds","have","wings",,,,,,,"auto"
"fish","have","fins",,,,,,,"auto"
"the animal","create","energy",,,,,,,"auto"
"animals","change","color similar to their environment",,,,,,,"auto"
"a nutrient","give","energy them",,,,,,,"auto"
"the blood","carries","the waste dioxide back to the lungs",,,,,,,"auto"
"the kidneys","send","it[blood] to the bladder",,,,,,,"auto"
"animals","take in","air",,,,,,,"auto"
"plants","take in","air through their leaves",,,,,,,"auto"
"nutrients from the soil","enter","the plant through its[soil] roots",,,,,,,"auto"
"all living things","have","a life cycle",,,,,,,"auto"
"animals","take in","food as a nutrient",,,,,,,"auto"
"plants","get","their nutrients from the soil",,,,,,,"auto"
"all living things","do","some type of breathing",,,,,,,"auto"
"most animals","take in","oxygen through their mouths",,,,,,,"auto"
"animals","exhale","carbon dioxide",,,,,,,"auto"
"plants","use","carbon dioxide",,,,,,,"auto"
"plants","take in","carbon dioxide",,,,,,,"auto"
"plants","give off","oxygen",,,,,,,"auto"
"the waste","leaves","the body in the form of feces",,,,,,,"auto"
"plants","get","rid of chemical waste through their roots",,,,,,,"auto"
"plants","contain","little green particles",,,,,,,"auto"
"plants","provide","animals with food with gases",,,,,,,"auto"
"their bodies","make","energy",,,,,,,"auto"
"their bodies","need","food",,,,,,,"auto"
"humans","inhale","oxygen & (  exhale carbon dioxide )",,,,,,,"auto"
"the leaves of the plants","take in","carbon dioxide from the environment",,,,,,,"auto"
"animals","need","oxygen",,,,,,,"auto"
"light","provides","the energy for the entire process of photosynthesis",,,,,,,"auto"
"roots","anchor","the plant in the soil",,,,,,,"auto"
"roots","absorb","water & nutrients from the soil into the plant",,,,,,,"auto"
"the stem","supports","the plant",,,,,,,"auto"
"the stem","transports","extra food",,,,,,,"auto"
"the petals","fall off","the plant",,,,,,,"auto"
"all fruits","have","seeds",,,,,,,"auto"
"some fruits","have","a few seeds like an apple",,,,,,,"auto"
"some fruits","have","many little seeds like a kiwi",,,,,,,"auto"
"large leaves","increase","surface area for photosynthesis",,,,,,,"auto"
"plants","have","life cycles",,,,,,,"auto"
"all animals","take in","nutrients",,,,,,,"auto"
"groups of cells","make up","tissues",,,,,,,"auto"
"the teeth & tongue","break","their mouth up the food into smaller pieces",,,,,,,"auto"
"a tube","called","the esophagus to the stomach",,,,,,,"auto"
"the stomach","break_down","it[food] more",,,,,,,"auto"
"animals","take","(  air  in ) through the nose",,,,,,,"auto"
"(  air  in )","contains","oxygen",,,,,,,"auto"
"it[air]","moves","the air through a tube",,,,,,,"auto"
"( we inhale the air )","called","the trachea to the lungs",,,,,,,"auto"
"the cells","use","the oxygen",,,,,,,"auto"
"the lungs","let out","air",,,,,,,"auto"
"the body","get","nutrients & oxygen & tissues & organs to all of its cells",,,,,,,"auto"
"the blood","carries","the nutrients through tubes",,,,,,,"auto"
"the blood","carries","nutrients & oxygen throughout the body",,,,,,,"auto"
"the blood","takes","the chemical waste & excess water to the kidneys",,,,,,,"auto"
"the kidneys","collect","it[blood]",,,,,,,"auto"
"the body","excretes","it[body] as urine",,,,,,,"auto"
"the skeleton","provides","support",,,,,,,"auto"
"the skeleton","protects","the body 's organs",,,,,,,"auto"
"all animals","sense","their surroundings",,,,,,,"auto"
"humans","have","five senses",,,,,,,"auto"
"tiny sensors on the tongue called taste buds","identify","different tastes such as sweet sour bitter and tart",,,,,,,"auto"
"the eyes","take in","light through the lenses",,,,,,,"auto"
"the eyes","transmit","the shapes & images through the optic nerve to the brain",,,,,,,"auto"
"birds","use","their wings",,,,,,,"auto"
"fish","use","their fins",,,,,,,"auto"
"others","use","their[others] legs",,,,,,,"auto"
"turtles","have","shells",,,,,,,"auto"
"porcupines","have","spines",,,,,,,"auto"
"birds","use","their feathers",,,,,,,"auto"
"some animals","grow","thicker fur in the winter",,,,,,,"auto"
"some animals","shed","it[fur] in the warmer months",,,,,,,"auto"
"some animals","gather","food in preparation for the long winter",,,,,,,"auto"
"squirrels","collect","acorns",,,,,,,"auto"
"some animals","live","a very different life in the warm weather than in the cold weather",,,,,,,"auto"
"a beak","take in","food",,,,,,,"auto"
"each bird","eats","what type of food",,,,,,,"auto"
"elephants","have","long trunks",,,,,,,"auto"
"all living things","have","specific patterns of reproduction growth and development that are called stages in its life cycle",,,,,,,"auto"
"a changing stage","called","metamorphosis",,,,,,,"auto"
"the type of environment & various environmental factors","have","a direct effect on organisms",,,,,,,"auto"
"inheritance","passing","characteristics from parent to child",,,,,,,"auto"
"a pedigree chart","shows","each level of a family tree in a chart format",,,,,,,"auto"
"organisms","reproduce","an equal amount of genetic information dna from the mother and father",,,,,,,"auto"
"each strand of dna","contains","hundreds of pieces of information",,,,,,,"auto"
"humans","has","only 8 chromosomes for example",,,,,,,"auto"
"they[humans]","mate","an offspring the same species like themselves[humans]",,,,,,,"auto"
"cats","have","kittens",,,,,,,"auto"
"goldfish","have","guppies",,,,,,,"auto"
"frogs","have","tadpoles",,,,,,,"auto"
"dogs","have","puppies",,,,,,,"auto"
"humans","have","energy",,,,,,,"auto"
"they[humans]","eat","healthy foods",,,,,,,"auto"
"they[humans]","get","regular rest",,,,,,,"auto"
"healthy","includes","good health habits also",,,,,,,"auto"
"our teeth","build up","food throughout the day throughout the day",,,,,,,"auto"
"(  brushing our teeth )","removes","the food",,,,,,,"auto"
"the tobacco","enter","the lungs",,,,,,,"auto"
"the chemicals from smoking","cause","very serious diseases such_as lung cancer also",,,,,,,"auto"
"the blood","takes","it[order] in order for alcohol and drugs to the liver",,,,,,,"auto"
"our bodies","need","time to rest",,,,,,,"auto"
"living things","need","specific resources for survival such as air food and water",,,,,,,"auto"
"plants","take in","carbon dioxide also from the environment and return oxygen to the air for animals to use",,,,,,,"auto"
"changes in the weather too much rainfall and severe cold or heat","affect","plants & animals",,,,,,,"auto"
"some animals","eat","other animals",,,,,,,"auto"
"a primary 1st consumer","eats","producers",,,,,,,"auto"
"a secondary consumer","eats","primary consumers",,,,,,,"auto"
"a tertiary 3rd consumer","eats","secondary consumers",,,,,,,"auto"
"human decisions & activities","had","a major impact on the physical and living environments",,,,,,,"auto"
"power factories","make","items",,,,,,,"auto"
"they[humans]","displace","the animals as humans as stores as communities",,,,,,,"auto"
"humans","manufacture","goods in_addition_to food in_addition_to shelter in_addition_to energy",,,,,,,"auto"
"(  watering their[humans] imported lawns )","increases","the moisture in the dry air",,,,,,,"auto"
"humans","help","the environment in many ways",,,,,,,"auto"
"feeding animals","lost","their[humans] natural resources",,,,,,,"auto"
"appliances","conserve","energy",,,,,,,"auto"
"(  measure mass scientists )","use","a balance",,,,,,,"auto"
"scientists","use","a graduated cylinder liquid volume",,,,,,,"auto"
"(  measure the volume of a solid scientists )","use","a ruler",,,,,,,"auto"
"solids","have","a definite shape & volume",,,,,,,"auto"
"liquids","take","the shape of the container they are placed in",,,,,,,"auto"
"liquids","have","a definite volume",,,,,,,"auto"
"gases","take","the shape of whatever container they occupy & volume",,,,,,,"auto"
"a ruler","measures","length",,,,,,,"auto"
"a balance","measures","mass",,,,,,,"auto"
"a thermometer","measures","temperature",,,,,,,"auto"
"physical properties","include","color & hardness & odor & sound & taste & texture & size",,,,,,,"auto"
"a rock at the top of a hill","has","potential energy",,,,,,,"auto"
"mechanical energy","push","another object",,,,,,,"auto"
"electrical energy changes","sound","energy in a door buzzer",,,,,,,"auto"
"a simple circuit","involves","a battery such as a light bulb generally",,,,,,,"auto"
"the smoother","the surface","the less friction against an object",,,,,,,"auto"
"the distance between two magnets between a magnet between another metal object","has","an effect on the force of attraction",,,,,,,"auto"
"the force","pulls","an object toward the center of the earth",,,,,,,"auto"
"1 minute","equals","60 seconds",,,,,,,"auto"
"1 hour","equals","60 minutes",,,,,,,"auto"
"1 day","equals","24 hours",,,,,,,"auto"
"1 year","equals","12 months & 365 days",,,,,,,"auto"
"each season","has","its[season] distinct weather conditions",,,,,,,"auto"
"the moon","orbits","the earth in a path",,,,,,,"auto"
"the moon","makes","a complete orbit around the earth & every 29  1/2 days once",,,,,,,"auto"
"the moon","blocks","the sun 's light",,,,,,,"auto"
"weather","describes","the conditions in the sky on any particular day",,,,,,,"auto"
"climate","describes","the weather conditions in an area over time",,,,,,,"auto"
"a barometer","measures","air pressure",,,,,,,"auto"
"an anemometer","measures","wind",,,,,,,"auto"
"a southwest wind","bring","warm air to new york from the south",,,,,,,"auto"
"weather instruments","predict","weather",,,,,,,"auto"
"he[weatherperson] & she","gives","the temperature & sky conditions & precipitation usually",,,,,,,"auto"
"hurricanes","have","(  high winds  very ) & over 74 miles per hour & rain",,,,,,,"auto"
"hurricanes","develop","in the atlantic ocean",,,,,,,"auto"
"tornados","develop","over land usually",,,,,,,"auto"
"tornados","have","very short lives",,,,,,,"auto"
"these storms/conditions","have","a harmful effect on the areas",,,,,,,"auto"
"each season","experiences","specific climate conditions",,,,,,,"auto"
"the temperature","starts out","cold during spring",,,,,,,"auto"
"spring","has","high amounts of rainfall",,,,,,,"auto"
"energy from the sun","heated","the water",,,,,,,"auto"
"the water vapor","entered","the air then",,,,,,,"auto"
"condensation","involves","changing water from its[vapor] gaseous state to its[state] liquid state",,,,,,,"auto"
"examples of precipitation","include","rain & snow & sleet & hail",,,,,,,"auto"
"weathering of rock and landforms","take","place also through the action of running water and waves",,,,,,,"auto"
"the flow of water through a landform","create","valleys in large rocks",,,,,,,"auto"
"the force of waves breaking on beaches and cliffs","change","landforms also",,,,,,,"auto"
"(  wave action )","move","sand along a beach",,,,,,,"auto"
"increased water flow","widen","a riverbed",,,,,,,"auto"
"water","move","wind & the particles",,,,,,,"auto"
"powerful earthquakes","cause","damage to landscapes to buildings however",,,,,,,"auto"
"hot liquid material from inside the earth","reach","the surface through a mountain",,,,,,,"auto"
"scientists","use","tools often",,,,,,,"auto"
"a scientist","use","tools",,,,,,,"auto"
"a ruler","measures","length",,,,,,,"auto"
"a balance","measures","mass",,,,,,,"auto"
"a thermometer","measures","temperature",,,,,,,"auto"
"a magnet","detects","magnetic properties",,,,,,,"auto"
"eye goggles","protect","eyes from chemicals from flying objects",,,,,,,"auto"
"an apron","protects","clothing",,,,,,,"auto"
"gloves","protect","hands/skin from harm",,,,,,,"auto"
"a line graph","shows","the change in information between two variables",,,,,,,"auto"
"data tables","provide","us also in_addition_to the information with a great deal of information",,,,,,,"auto"
"plants","require","air light & nutrients in order to live and survive",,,,,,,"auto"
"examples of plants or plant products","include","lettuce & oranges & celery & broccoli & carrots & apples & potatoes",,,,,,,"auto"
"animals","use","plants for food",,,,,,,"auto"
"animals","use","plants for shelter",,,,,,,"auto"
