col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,partition_0
83,A dog,burying a bone,is an example of an organism,storing nutrients for future use,NA,NA,NA,NA,NA,regents
84,A girl,eating an apple,is an example of an organism,taking in nutrients,NA,NA,NA,NA,NA,regents
85,An insect,crawling on a leaf,is an example of an organism,moving on a surface,NA,NA,NA,NA,NA,regents
86,A boy,planting tomatoes in a garden,is an example of an organism,cultivating nutrients,NA,NA,NA,NA,NA,regents
87,A squirrel,climbing a tree,is an example of an organism,moving in its habitat,NA,NA,NA,NA,NA,regents
88,A rabbit,feeding its young,is an example of an organism,providing nutrients to its offspring,NA,NA,NA,NA,NA,regents
89,A frog,eating an insect,is an example of an organism,ingesting nutrients,NA,NA,NA,NA,NA,regents
90,A bird,migrating south,is an example of an organism,adapting to change in the environment,NA,NA,NA,NA,NA,regents
91,A bat,flying at night,is an example of an organism,moving,NA,NA,NA,NA,NA,regents
92,A deer,drinking water,is an example of an organism,ingesting water,NA,NA,NA,NA,NA,regents
93,An owl,eating a mouse,is an example of an organism,ingesting nutrients,NA,NA,NA,NA,NA,regents
94,A squirrel,storing nuts,is an example of an organism,preparing for a seasonal change in its environment,NA,NA,NA,NA,NA,regents
95,A whale,spouting ,is an example of an organism,breathing,NA,NA,NA,NA,NA,regents
96,Maple keys,spinning through the air,is an example of an organism,reproducing,NA,NA,NA,NA,NA,regents
97,Leaves,falling from an oak tree,is an example of an organism,eliminating waste,NA,NA,NA,NA,NA,regents
98,A turtle,eating worms,is an example of an organism,taking in nutrients,NA,NA,NA,NA,NA,regents
99,Some birds,flying south before winter each year,is an example of an organism,migrating,NA,NA,NA,NA,NA,regents
100,Some mammals,sleeping through the winter each year,is an example of an organism,hibernating,NA,NA,NA,NA,NA,regents
101,Some seeds,sprouting after they have been exposed to fire,is an example of an organism,germinating,NA,NA,NA,NA,NA,regents
102,Bears,going into a kind of sleep during winter to reduce their need for food,is an example of an organism,hibernating,NA,NA,NA,NA,NA,regents
103,Canadian geese,flying south during winter to avoid the cold,is an example of an organism,migrating,NA,NA,NA,NA,NA,regents
104,A white arctic fox,blending in with the snow,is an example of an organism,using camouflage,NA,NA,NA,NA,NA,regents
105,Some butterflies,living an average of two weeks,is an example of an organism,living a life span,NA,NA,NA,NA,NA,regents
106,Object,Living or nonliving?,NA,NA,NA,NA,NA,NA,NA,regents
107,bear,living,NA,NA,NA,NA,NA,NA,NA,regents
108,bicycle,nonliving,NA,NA,NA,NA,NA,NA,NA,regents
109,bird,living,NA,NA,NA,NA,NA,NA,NA,regents
110,butterfly,living,NA,NA,NA,NA,NA,NA,NA,regents
111,NA,ORBITAL EVENT,NA,PERIOD OF DAYLIGHT,NA,PERIOD OF NIGHT,NA,NA,NA,regents
112,The,summer solstice,is the day with the ,longest,period of daylight and the ,shortest,period of night,NA,NA,regents
113,The,winter solstice,is the day with the ,shortest,period of daylight and the ,longest,period of night,NA,NA,regents
114,The,spring equinox,is the day with the ,midrange,period of daylight and the ,midrange,period of night,NA,NA,regents
115,The,fall equinox,is the day with the ,midrange,period of daylight and the ,midrange,period of night,NA,NA,regents
116,Substance,States usually found in nature,NA,NA,NA,NA,NA,NA,NA,regents
117,water,"liquid, solid, gas",NA,NA,NA,NA,NA,NA,NA,regents
118,rock,solid,NA,NA,NA,NA,NA,NA,NA,regents
119,metal,"liquid, solid",NA,NA,NA,NA,NA,NA,NA,regents
120,glass,solid,NA,NA,NA,NA,NA,NA,NA,regents
121,LHS,Relation,RHS,NA,NA,NA,NA,NA,NA,auto
122,animals,need,water also,NA,NA,NA,NA,NA,NA,auto
123,all living things,need,nutrients,NA,NA,NA,NA,NA,NA,auto
124,animals,take in,food,NA,NA,NA,NA,NA,NA,auto
125,animals,get,nutrients,NA,NA,NA,NA,NA,NA,auto
126,all cells,need,oxygen,NA,NA,NA,NA,NA,NA,auto
127,living things,change,the sun 's energy,NA,NA,NA,NA,NA,NA,auto
128,living things,make,their[producers] own food,NA,NA,NA,NA,NA,NA,auto
129,humans,use,resources from the environment,NA,NA,NA,NA,NA,NA,auto
130,humans,create,shelters & energy,NA,NA,NA,NA,NA,NA,auto
131,humans,use,wood,NA,NA,NA,NA,NA,NA,auto
132,humans,build,homes,NA,NA,NA,NA,NA,NA,auto
133,humans,use,materials also,NA,NA,NA,NA,NA,NA,auto
134,humans,create,energy,NA,NA,NA,NA,NA,NA,auto
135,humans,need,food,NA,NA,NA,NA,NA,NA,auto
136,scientists,use,tools & instruments often in_addition_to their senses,NA,NA,NA,NA,NA,NA,auto
137,scientists,observe,matter,NA,NA,NA,NA,NA,NA,auto
138,scientists,use,an anemometer,NA,NA,NA,NA,NA,NA,auto
139,scientists,determine,wind speed,NA,NA,NA,NA,NA,NA,auto
140,all living things,need,air & water,NA,NA,NA,NA,NA,NA,auto
141,plants,need,light,NA,NA,NA,NA,NA,NA,auto
142,the plant,gets,the energy,NA,NA,NA,NA,NA,NA,auto
143,cactus,hold,water,NA,NA,NA,NA,NA,NA,auto
144,palm trees,absorb,extra sunlight,NA,NA,NA,NA,NA,NA,auto
145,palm trees,have,wide leaves,NA,NA,NA,NA,NA,NA,auto
146,animals,need,air & water & food,NA,NA,NA,NA,NA,NA,auto
147,some animals,grow,thick fur in winter in winter,NA,NA,NA,NA,NA,NA,auto
148,some animals,increase,body fat in winter in winter,NA,NA,NA,NA,NA,NA,auto
149,a scientist,use,a graduated cylinder,NA,NA,NA,NA,NA,NA,auto
150,a scientist,measure,the volume of a liquid,NA,NA,NA,NA,NA,NA,auto
151,living things,need,food & water & air,NA,NA,NA,NA,NA,NA,auto
152,animals,need,air & water & food,NA,NA,NA,NA,NA,NA,auto
153,plants,need,air & water & nutrients & light,NA,NA,NA,NA,NA,NA,auto
154,plants,require,air & water & nutrients & light in order,NA,NA,NA,NA,NA,NA,auto
155,tough outer coatings,protect,the plant from the environment,NA,NA,NA,NA,NA,NA,auto
156,all animals,take in,food & water & nutrients,NA,NA,NA,NA,NA,NA,auto
157,the body,growing,new bone cells,NA,NA,NA,NA,NA,NA,auto
158,new bone cells,repair,the break,NA,NA,NA,NA,NA,NA,auto
159,new clean forms of energy,conserve,fossil fuels,NA,NA,NA,NA,NA,NA,auto
160,force,do,work,NA,NA,NA,NA,NA,NA,auto
161,plants,need,air & water & nutrients & light,NA,NA,NA,NA,NA,NA,auto
162,animals,need,air & food & water,NA,NA,NA,NA,NA,NA,auto
163,plants,need,water & light & air & food,NA,NA,NA,NA,NA,NA,auto
164,a plant,have,a large root system,NA,NA,NA,NA,NA,NA,auto
165,a large root system,find,water deep within the ground,NA,NA,NA,NA,NA,NA,auto
166,a tough outer coating,prevent,the loss of water,NA,NA,NA,NA,NA,NA,auto
167,organisms,reproduce,dna from the parents,NA,NA,NA,NA,NA,NA,auto
168,organisms,form,the genetic information for the new offspring,NA,NA,NA,NA,NA,NA,auto
169,the animal,make,energy,NA,NA,NA,NA,NA,NA,auto
170,our bodies,bringing,water to our skin,NA,NA,NA,NA,NA,NA,auto
171,work,involves,the changing of an object 's position,NA,NA,NA,NA,NA,NA,auto
172,animals,get,long periods of time with little food through,NA,NA,NA,NA,NA,NA,auto
173,elephants,protect,them from predators,NA,NA,NA,NA,NA,NA,auto
174,the fish,get,oxygen from the water while swimming,NA,NA,NA,NA,NA,NA,auto
175,all living things,produce,offspring,NA,NA,NA,NA,NA,NA,auto
176,(  thorns  on ),protect,the plant,NA,NA,NA,NA,NA,NA,auto
177,roots,reach,the water supply,NA,NA,NA,NA,NA,NA,auto
178,animals,find,shelter & food,NA,NA,NA,NA,NA,NA,auto
179,some animals,change,the color of their body,NA,NA,NA,NA,NA,NA,auto
180,skunks,give off,a very foul smell,NA,NA,NA,NA,NA,NA,auto
181,many animals,change,their body with the seasons,NA,NA,NA,NA,NA,NA,auto
182,(  flying  south in the winter ),avoid,the cold months,NA,NA,NA,NA,NA,NA,auto
183,the best way in addition to eating healthfully exercising and getting rest,avoid,harmful substances,NA,NA,NA,NA,NA,NA,auto
184,the lungs,remove,the chemicals,NA,NA,NA,NA,NA,NA,auto
185,the liver,remove,these foreign substances,NA,NA,NA,NA,NA,NA,auto
186,plants,make,their own food by photosynthesis,NA,NA,NA,NA,NA,NA,auto
187,the sun,appears,each day,NA,NA,NA,NA,NA,NA,auto
188,(  action their roots ),secure,the plant,NA,NA,NA,NA,NA,NA,auto
189,(  action their roots ),seek,water,NA,NA,NA,NA,NA,NA,auto
190,( becoming very small pieces  ),create,soil,NA,NA,NA,NA,NA,NA,auto
191,plants,make,their own food by a process,NA,NA,NA,NA,NA,NA,auto
192,the leaves,contain,chlorophyll,NA,NA,NA,NA,NA,NA,auto
193,the leaves,collect,light,NA,NA,NA,NA,NA,NA,auto
194,pelicans,collect,many fish in their large beaks,NA,NA,NA,NA,NA,NA,auto
195,a number of different objects,appear,each day night in the sky,NA,NA,NA,NA,NA,NA,auto
196,plants,make,their own food by a process,NA,NA,NA,NA,NA,NA,auto
197,freezing,changing,water from its[change] liquid state to its[state] solid state by removal,NA,NA,NA,NA,NA,NA,auto
198,melting,changing,water from its solid state to a liquid state by addition,NA,NA,NA,NA,NA,NA,auto
199,plants,break down,rocks also by action,NA,NA,NA,NA,NA,NA,auto
200,plants,give_off,oxygen,NA,NA,NA,NA,NA,NA,auto
201,the oxygen,enters,the blood in the lungs,NA,NA,NA,NA,NA,NA,auto
202,the oxygen,carry,the oxygen throughout the body,NA,NA,NA,NA,NA,NA,auto
203,sound move tiny bones in our ears,send,a message through the auditory nerve to the brain,NA,NA,NA,NA,NA,NA,auto
204,the taste buds,send,information to the brain,NA,NA,NA,NA,NA,NA,auto
205,your body,have,energy,NA,NA,NA,NA,NA,NA,auto
206,your body,repair,itself[body],NA,NA,NA,NA,NA,NA,auto
207,living things,take in,nutrients,NA,NA,NA,NA,NA,NA,auto
208,the dolphin,swims,its[dolphin] flipper,NA,NA,NA,NA,NA,NA,auto
209,plants,take in,use the type of air,NA,NA,NA,NA,NA,NA,auto
210,plants,make,their own food a process,NA,NA,NA,NA,NA,NA,auto
211,plants,give off,oxygen & water a process,NA,NA,NA,NA,NA,NA,auto
212,many animals,need,a gas,NA,NA,NA,NA,NA,NA,auto
213,flowers,have,nice scents for a reason,NA,NA,NA,NA,NA,NA,auto
214,plants,increase,the process in size,NA,NA,NA,NA,NA,NA,auto
215,plants & animals,increase,the process in size,NA,NA,NA,NA,NA,NA,auto
216,( the liver the organ  ),cleans,the blood,NA,NA,NA,NA,NA,NA,auto
217,the science,studies,the relationships between organisms and their environments,NA,NA,NA,NA,NA,NA,auto
218,animals,eat,plants,NA,NA,NA,NA,NA,NA,auto
219,living things,break down,dead organisms,NA,NA,NA,NA,NA,NA,auto
220,living things,recycle,their[consumers] nutrients into the soil,NA,NA,NA,NA,NA,NA,auto
221,humans,created,pollution the ways,NA,NA,NA,NA,NA,NA,auto
222,anything,has,mass,NA,NA,NA,NA,NA,NA,auto
223,anything,takes up,space,NA,NA,NA,NA,NA,NA,auto
224,energy,gives,us & warmth,NA,NA,NA,NA,NA,NA,auto
225,two surfaces,are,resistance in contact,NA,NA,NA,NA,NA,NA,auto
226,areas,need,rainwater for everyday use,NA,NA,NA,NA,NA,NA,auto
227,scientists,investigate,a problem & situation a process,NA,NA,NA,NA,NA,NA,auto
228,the flower,has,a pleasant scent,NA,NA,NA,NA,NA,NA,auto
229,a pleasant scent,attracts,birds & insects,NA,NA,NA,NA,NA,NA,auto
230,the force,slows down,the motion of a bicycle,NA,NA,NA,NA,NA,NA,auto
231,the force,brings,objects toward the earth,NA,NA,NA,NA,NA,NA,auto
232,the force,pulls,objects toward the earth,NA,NA,NA,NA,NA,NA,auto
233,plants & animals,increase,a process in size,NA,NA,NA,NA,NA,NA,auto
234,animals,protect,themselves in a way,NA,NA,NA,NA,NA,NA,auto
235,some animals,deal,another way with changes in the weather,NA,NA,NA,NA,NA,NA,auto
236,the plates,make up,the earth 's crust,NA,NA,NA,NA,NA,NA,auto
237,the sun,causes,the phase change,NA,NA,NA,NA,NA,NA,auto
238,it[energy],evaporate,change from liquid water to water vapor,NA,NA,NA,NA,NA,NA,auto
239,the plant,create,food,NA,NA,NA,NA,NA,NA,auto
240,the plant,produce,food,NA,NA,NA,NA,NA,NA,auto
241,regular exercise,live,a healthy lifestyle,NA,NA,NA,NA,NA,NA,auto
242,the plant,produce,food,NA,NA,NA,NA,NA,NA,auto
243,the offspring,has,characteristics similar to the parents,NA,NA,NA,NA,NA,NA,auto
244,cells from the male and female parts of the plant,form,seeds,NA,NA,NA,NA,NA,NA,auto
245,the lungs,send,the carbon dioxide,NA,NA,NA,NA,NA,NA,auto
246,it[skin],cools down,our body,NA,NA,NA,NA,NA,NA,auto
247,an organism,has,an offspring,NA,NA,NA,NA,NA,NA,auto
248,an animal,breaks,a bone,NA,NA,NA,NA,NA,NA,auto
249,two objects,produce,mechanical energy,NA,NA,NA,NA,NA,NA,auto
250,the bulb,give off,light,NA,NA,NA,NA,NA,NA,auto
251,the ground,absorb,the water eventually,NA,NA,NA,NA,NA,NA,auto
252,the ground,absorbs,the water,NA,NA,NA,NA,NA,NA,auto
253,it[water],breaks,the rock,NA,NA,NA,NA,NA,NA,auto
254,plants,make,food,NA,NA,NA,NA,NA,NA,auto
255,animals,cause,harm to the environment,NA,NA,NA,NA,NA,NA,auto
256,it[organism],needs,water,NA,NA,NA,NA,NA,NA,auto
257,a deep cut,leaves,a scar,NA,NA,NA,NA,NA,NA,auto
258,humans,construct,new homes & buildings,NA,NA,NA,NA,NA,NA,auto
259,they[humans],change,the landscape of the nonliving environment,NA,NA,NA,NA,NA,NA,auto
260,rain,occur,anytime during the year,NA,NA,NA,NA,NA,NA,auto
261,birds,building,a nest on tree branches and squirrels living inside a tree trunk,NA,NA,NA,NA,NA,NA,auto
262,animals,using,plants for shelter,NA,NA,NA,NA,NA,NA,auto
263,magnet,attract,objects,NA,NA,NA,NA,NA,NA,auto
264,an example of a plant responding to a change in its[plant] environment,falling off,trees in fall,NA,NA,NA,NA,NA,NA,auto
265,mechanical energy,playing,a guitar,NA,NA,NA,NA,NA,NA,auto
266,mechanical energy,pounding,a fist on a table,NA,NA,NA,NA,NA,NA,auto
267,life cycles,include,( that beginning life into an adult reproduction as an adult and eventually death ),NA,NA,NA,NA,NA,NA,auto
268,its[kind] own stages of growth of development,includes,seed & young plant & mature plant,NA,NA,NA,NA,NA,NA,auto
269,your body,making,new skin cells,NA,NA,NA,NA,NA,NA,auto
270,they[producers],provide,the basic food supply for themselves[producers] and animals,NA,NA,NA,NA,NA,NA,auto
271,it[sky],reflects,light from the sun,NA,NA,NA,NA,NA,NA,auto
272,water animals,produce,very large numbers of eggs,NA,NA,NA,NA,NA,NA,auto
273,the main function of a turtle 's shell,protect,the turtle,NA,NA,NA,NA,NA,NA,auto
274,animals,require,air & water & food,NA,NA,NA,NA,NA,NA,auto
275,all animals,take in,oxygen,NA,NA,NA,NA,NA,NA,auto
276,farmers,plant,harvest grain & wheat & corn & fruits & vegetables,NA,NA,NA,NA,NA,NA,auto
277,skiers & surfers,apply,wax often to their[skiers] skis to boards,NA,NA,NA,NA,NA,NA,auto
278,scientists,record,their[scientists] observations often in a journal in notebook,NA,NA,NA,NA,NA,NA,auto
279,scientists,keep,accurate records for future review,NA,NA,NA,NA,NA,NA,auto
280,the plant,perform,photosynthesis,NA,NA,NA,NA,NA,NA,auto
281,plants,give off,oxygen,NA,NA,NA,NA,NA,NA,auto
282,animals,give off,carbon dioxide,NA,NA,NA,NA,NA,NA,auto
283,plants,producing,flowers & fruits,NA,NA,NA,NA,NA,NA,auto
284,fruits,have,seeds,NA,NA,NA,NA,NA,NA,auto
285,animals,exhaling,carbon dioxide through their mouth through nose,NA,NA,NA,NA,NA,NA,auto
286,it[body],circulating,blood throughout the body,NA,NA,NA,NA,NA,NA,auto
287,some animals,sending,special sounds out,NA,NA,NA,NA,NA,NA,auto
288,some animals,protect,themselves[predators],NA,NA,NA,NA,NA,NA,auto
289,scared or upset our body,increasing,our heart rate,NA,NA,NA,NA,NA,NA,auto
290,humans,raising,animals,NA,NA,NA,NA,NA,NA,auto
291,humans,changed,the environment also,NA,NA,NA,NA,NA,NA,auto
292,humans,cultivating,crops,NA,NA,NA,NA,NA,NA,auto
293,humans,developing,communities in areas,NA,NA,NA,NA,NA,NA,auto
294,humans,changed,their[humans] environment,NA,NA,NA,NA,NA,NA,auto
295,plants,forming,seeds from the male pollen and female eggs cells found in the flower,NA,NA,NA,NA,NA,NA,auto
296,lobsters & crabs,protect,them[others] from predators,NA,NA,NA,NA,NA,NA,auto
297,lobsters & crabs,protect,themselves with their claws,NA,NA,NA,NA,NA,NA,auto
298,dogs,have,legs,NA,NA,NA,NA,NA,NA,auto
299,birds,have,wings,NA,NA,NA,NA,NA,NA,auto
300,fish,have,fins,NA,NA,NA,NA,NA,NA,auto
301,the animal,create,energy,NA,NA,NA,NA,NA,NA,auto
302,animals,change,color similar to their environment,NA,NA,NA,NA,NA,NA,auto
303,a nutrient,give,energy them,NA,NA,NA,NA,NA,NA,auto
304,the blood,carries,the waste dioxide back to the lungs,NA,NA,NA,NA,NA,NA,auto
305,the kidneys,send,it[blood] to the bladder,NA,NA,NA,NA,NA,NA,auto
306,animals,take in,air,NA,NA,NA,NA,NA,NA,auto
307,plants,take in,air through their leaves,NA,NA,NA,NA,NA,NA,auto
308,nutrients from the soil,enter,the plant through its[soil] roots,NA,NA,NA,NA,NA,NA,auto
309,all living things,have,a life cycle,NA,NA,NA,NA,NA,NA,auto
310,animals,take in,food as a nutrient,NA,NA,NA,NA,NA,NA,auto
311,plants,get,their nutrients from the soil,NA,NA,NA,NA,NA,NA,auto
312,all living things,do,some type of breathing,NA,NA,NA,NA,NA,NA,auto
313,most animals,take in,oxygen through their mouths,NA,NA,NA,NA,NA,NA,auto
314,animals,exhale,carbon dioxide,NA,NA,NA,NA,NA,NA,auto
315,plants,use,carbon dioxide,NA,NA,NA,NA,NA,NA,auto
316,plants,take in,carbon dioxide,NA,NA,NA,NA,NA,NA,auto
317,plants,give off,oxygen,NA,NA,NA,NA,NA,NA,auto
318,the waste,leaves,the body in the form of feces,NA,NA,NA,NA,NA,NA,auto
319,plants,get,rid of chemical waste through their roots,NA,NA,NA,NA,NA,NA,auto
320,plants,contain,little green particles,NA,NA,NA,NA,NA,NA,auto
321,plants,provide,animals with food with gases,NA,NA,NA,NA,NA,NA,auto
322,their bodies,make,energy,NA,NA,NA,NA,NA,NA,auto
323,their bodies,need,food,NA,NA,NA,NA,NA,NA,auto
324,humans,inhale,oxygen & (  exhale carbon dioxide ),NA,NA,NA,NA,NA,NA,auto
325,the leaves of the plants,take in,carbon dioxide from the environment,NA,NA,NA,NA,NA,NA,auto
326,animals,need,oxygen,NA,NA,NA,NA,NA,NA,auto
327,light,provides,the energy for the entire process of photosynthesis,NA,NA,NA,NA,NA,NA,auto
328,roots,anchor,the plant in the soil,NA,NA,NA,NA,NA,NA,auto
329,roots,absorb,water & nutrients from the soil into the plant,NA,NA,NA,NA,NA,NA,auto
330,the stem,supports,the plant,NA,NA,NA,NA,NA,NA,auto
331,the stem,transports,extra food,NA,NA,NA,NA,NA,NA,auto
332,the petals,fall off,the plant,NA,NA,NA,NA,NA,NA,auto
333,all fruits,have,seeds,NA,NA,NA,NA,NA,NA,auto
334,some fruits,have,a few seeds like an apple,NA,NA,NA,NA,NA,NA,auto
335,some fruits,have,many little seeds like a kiwi,NA,NA,NA,NA,NA,NA,auto
336,large leaves,increase,surface area for photosynthesis,NA,NA,NA,NA,NA,NA,auto
337,plants,have,life cycles,NA,NA,NA,NA,NA,NA,auto
338,all animals,take in,nutrients,NA,NA,NA,NA,NA,NA,auto
339,groups of cells,make up,tissues,NA,NA,NA,NA,NA,NA,auto
340,the teeth & tongue,break,their mouth up the food into smaller pieces,NA,NA,NA,NA,NA,NA,auto
341,a tube,called,the esophagus to the stomach,NA,NA,NA,NA,NA,NA,auto
342,the stomach,break_down,it[food] more,NA,NA,NA,NA,NA,NA,auto
343,animals,take,(  air  in ) through the nose,NA,NA,NA,NA,NA,NA,auto
344,(  air  in ),contains,oxygen,NA,NA,NA,NA,NA,NA,auto
345,it[air],moves,the air through a tube,NA,NA,NA,NA,NA,NA,auto
346,( we inhale the air ),called,the trachea to the lungs,NA,NA,NA,NA,NA,NA,auto
347,the cells,use,the oxygen,NA,NA,NA,NA,NA,NA,auto
348,the lungs,let out,air,NA,NA,NA,NA,NA,NA,auto
349,the body,get,nutrients & oxygen & tissues & organs to all of its cells,NA,NA,NA,NA,NA,NA,auto
350,the blood,carries,the nutrients through tubes,NA,NA,NA,NA,NA,NA,auto
351,the blood,carries,nutrients & oxygen throughout the body,NA,NA,NA,NA,NA,NA,auto
352,the blood,takes,the chemical waste & excess water to the kidneys,NA,NA,NA,NA,NA,NA,auto
